metabolite,pathway
"sphingomyelin (d18:1/19:0, d19:1/18:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Sphingolipid Metabolism
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",Sphingolipid Metabolism
sphingomyelin (d18:2/18:1)*,Sphingolipid Metabolism
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",Sphingolipid Metabolism
sphingomyelin (d18:2/23:1)*,Sphingolipid Metabolism
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Sphingolipid Metabolism
sphingomyelin (d18:2/24:2)*,Sphingolipid Metabolism
sphingosine,Sphingolipid Metabolism
sphingosine 1-phosphate,Sphingolipid Metabolism
stearate (18:0),Fatty Acid Metabolism
stearoyl sphingomyelin (d18:1/18:0),Sphingolipid Metabolism
stearoylcarnitine (C18),Fatty Acid Degradation
suberate (C8-DC),Fatty Acid Metabolism
suberoylcarnitine (C8-DC),Fatty Acid Degradation
succinate,TCA Cycle
succinylcarnitine (C4-DC),Fatty Acid Degradation
taurine,Amino Acid Metabolism
tauro-beta-muricholate,Primary Bile Acid Biosynthesis
taurochenodeoxycholate,Primary Bile Acid Biosynthesis
taurocholate,Primary Bile Acid Biosynthesis
taurodeoxycholate,Primary Bile Acid Biosynthesis
taurolithocholate 3-sulfate,Primary Bile Acid Biosynthesis
tauroursodeoxycholate,Primary Bile Acid Biosynthesis
tetrahydrocortisol glucuronide,Steroid Hormone Biosynthesis
tetrahydrocortisone glucuronide (5),Steroid Hormone Biosynthesis
threonine,Amino Acid Metabolism
tiglylcarnitine (C5:1-DC),Fatty Acid Degradation
trans-urocanate,Histidine Metabolism
tricosanoyl sphingomyelin (d18:1/23:0)*,Sphingolipid Metabolism
trigonelline (N'-methylnicotinate),Nicotinate and Nicotinamide Metabolism
tryptophan,Tryptophan Metabolism
tryptophan betaine,Tryptophan Metabolism
tyrosine,Amino Acid Metabolism
undecenoylcarnitine (C11:1),Fatty Acid Degradation
uracil,Pyrimidine Metabolism
urea,Urea Cycle
uridine,Pyrimidine Metabolism
ursodeoxycholate,Primary Bile Acid Biosynthesis
valine,Amino Acid Metabolism
xanthine,Purine Metabolism
xanthurenate,Tryptophan Metabolism
ximenoylcarnitine (C26:1)*,Fatty Acid Degradation
