trial,pathway,n_nodes,n_hidden_init,strategy,step,delta_uk,uk_current,oracle_top1
1,Purine Metabolism,4,2,commutator,1,-0.6957317078309244,2.8452500634915787,0
1,Purine Metabolism,4,2,commutator,2,-0.0974580617116998,2.9427081252032785,0
1,Purine Metabolism,4,2,variance,1,-0.3592549400109908,2.508773295671645,1
1,Purine Metabolism,4,2,variance,2,-0.4339348295316334,2.9427081252032785,0
1,Purine Metabolism,4,2,random,1,-0.6957317078309244,2.8452500634915787,0
1,Purine Metabolism,4,2,random,2,-0.0974580617116998,2.9427081252032785,0
1,Pyrimidine Metabolism,6,2,commutator,1,-0.5547309330138352,4.007057053530711,0
1,Pyrimidine Metabolism,6,2,commutator,2,-0.34105599610869763,4.348113049639409,0
1,Pyrimidine Metabolism,6,2,variance,1,-0.5547309330138352,4.007057053530711,0
1,Pyrimidine Metabolism,6,2,variance,2,-0.34105599610869763,4.348113049639409,0
1,Pyrimidine Metabolism,6,2,random,1,-0.5547309330138352,4.007057053530711,0
1,Pyrimidine Metabolism,6,2,random,2,-0.34105599610869763,4.348113049639409,0
1,Tryptophan Metabolism,5,2,commutator,1,-0.24775936417800182,2.0223308673994205,1
1,Tryptophan Metabolism,5,2,commutator,2,-0.7604809136333066,2.782811781032727,0
1,Tryptophan Metabolism,5,2,variance,1,-0.24775936417800182,2.0223308673994205,1
1,Tryptophan Metabolism,5,2,variance,2,-0.7604809136333066,2.782811781032727,0
1,Tryptophan Metabolism,5,2,random,1,-0.5014330715211104,2.276004574742529,0
1,Tryptophan Metabolism,5,2,random,2,-0.506807206290198,2.782811781032727,0
2,Arginine and Proline Metabolism,6,2,commutator,1,-0.04812060569097598,3.145473490933183,0
2,Arginine and Proline Metabolism,6,2,commutator,2,-0.018138992107628482,3.1636124830408114,0
2,Arginine and Proline Metabolism,6,2,variance,1,-0.04812060569097598,3.145473490933183,0
2,Arginine and Proline Metabolism,6,2,variance,2,-0.018138992107628482,3.1636124830408114,0
2,Arginine and Proline Metabolism,6,2,random,1,-0.04812060569097598,3.145473490933183,0
2,Arginine and Proline Metabolism,6,2,random,2,-0.018138992107628482,3.1636124830408114,0
2,Purine Metabolism,4,2,commutator,1,-0.6957317078309244,2.8452500634915787,0
2,Purine Metabolism,4,2,commutator,2,-0.0974580617116998,2.9427081252032785,0
2,Purine Metabolism,4,2,variance,1,-0.3592549400109908,2.508773295671645,1
2,Purine Metabolism,4,2,variance,2,-0.4339348295316334,2.9427081252032785,0
2,Purine Metabolism,4,2,random,1,-0.3592549400109908,2.508773295671645,1
2,Purine Metabolism,4,2,random,2,-0.4339348295316334,2.9427081252032785,0
2,Pyrimidine Metabolism,6,2,commutator,1,-0.3472404085996681,4.008979501969556,1
2,Pyrimidine Metabolism,6,2,commutator,2,-0.33913354766985293,4.348113049639409,0
2,Pyrimidine Metabolism,6,2,variance,1,-0.3472404085996681,4.008979501969556,1
2,Pyrimidine Metabolism,6,2,variance,2,-0.33913354766985293,4.348113049639409,0
2,Pyrimidine Metabolism,6,2,random,1,-0.3472404085996681,4.008979501969556,1
2,Pyrimidine Metabolism,6,2,random,2,-0.33913354766985293,4.348113049639409,0
2,Tryptophan Metabolism,5,2,commutator,1,-0.4282229494594163,2.2269374491509737,1
2,Tryptophan Metabolism,5,2,commutator,2,-0.5558743318817534,2.782811781032727,0
2,Tryptophan Metabolism,5,2,variance,1,-0.4282229494594163,2.2269374491509737,1
2,Tryptophan Metabolism,5,2,variance,2,-0.5558743318817534,2.782811781032727,0
2,Tryptophan Metabolism,5,2,random,1,-0.4282229494594163,2.2269374491509737,1
2,Tryptophan Metabolism,5,2,random,2,-0.5558743318817534,2.782811781032727,0
3,Arginine and Proline Metabolism,6,2,commutator,1,-0.14339744230222484,2.831056467299049,1
3,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
3,Arginine and Proline Metabolism,6,2,variance,1,-0.14339744230222484,2.831056467299049,1
3,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
3,Arginine and Proline Metabolism,6,2,random,1,-0.14339744230222484,2.831056467299049,1
3,Arginine and Proline Metabolism,6,2,random,2,-0.3325560157417624,3.1636124830408114,0
3,Purine Metabolism,4,2,commutator,1,-0.31053051068902526,2.0102702081160833,1
3,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
3,Purine Metabolism,4,2,variance,1,-0.31053051068902526,2.0102702081160833,1
3,Purine Metabolism,4,2,variance,2,-0.9324379170871953,2.9427081252032785,0
3,Purine Metabolism,4,2,random,1,-0.31053051068902526,2.0102702081160833,1
3,Purine Metabolism,4,2,random,2,-0.9324379170871953,2.9427081252032785,0
3,Pyrimidine Metabolism,6,2,commutator,1,-0.4249090979988721,3.9353525967108527,0
3,Pyrimidine Metabolism,6,2,commutator,2,-0.412760452928556,4.348113049639409,0
3,Pyrimidine Metabolism,6,2,variance,1,-0.4249090979988721,3.9353525967108527,0
3,Pyrimidine Metabolism,6,2,variance,2,-0.412760452928556,4.348113049639409,0
3,Pyrimidine Metabolism,6,2,random,1,-0.4249090979988721,3.9353525967108527,0
3,Pyrimidine Metabolism,6,2,random,2,-0.412760452928556,4.348113049639409,0
3,Tryptophan Metabolism,5,2,commutator,1,0.09195765529578548,2.276004574742529,1
3,Tryptophan Metabolism,5,2,commutator,2,-0.506807206290198,2.782811781032727,0
3,Tryptophan Metabolism,5,2,variance,1,0.09195765529578548,2.276004574742529,1
3,Tryptophan Metabolism,5,2,variance,2,-0.506807206290198,2.782811781032727,0
3,Tryptophan Metabolism,5,2,random,1,-0.4158261962113605,2.783788426249675,0
3,Tryptophan Metabolism,5,2,random,2,0.0009766452169479578,2.782811781032727,0
4,Arginine and Proline Metabolism,6,2,commutator,1,-0.21529390215381916,2.697151503640466,1
4,Arginine and Proline Metabolism,6,2,commutator,2,-0.46646097940034537,3.1636124830408114,0
4,Arginine and Proline Metabolism,6,2,variance,1,-0.21529390215381916,2.697151503640466,1
4,Arginine and Proline Metabolism,6,2,variance,2,-0.46646097940034537,3.1636124830408114,0
4,Arginine and Proline Metabolism,6,2,random,1,-0.5849398042223974,3.0667974057090444,0
4,Arginine and Proline Metabolism,6,2,random,2,-0.09681507733176709,3.1636124830408114,0
4,Purine Metabolism,4,2,commutator,1,-0.31053051068902526,2.0102702081160833,1
4,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
4,Purine Metabolism,4,2,variance,1,-0.31053051068902526,2.0102702081160833,1
4,Purine Metabolism,4,2,variance,2,-0.9324379170871953,2.9427081252032785,0
4,Purine Metabolism,4,2,random,1,-1.1455103660645207,2.8452500634915787,0
4,Purine Metabolism,4,2,random,2,-0.0974580617116998,2.9427081252032785,0
4,Pyrimidine Metabolism,6,2,commutator,1,-0.35288980286303584,4.007057053530711,1
4,Pyrimidine Metabolism,6,2,commutator,2,-0.34105599610869763,4.348113049639409,0
4,Pyrimidine Metabolism,6,2,variance,1,-0.35288980286303584,4.007057053530711,1
4,Pyrimidine Metabolism,6,2,variance,2,-0.34105599610869763,4.348113049639409,0
4,Pyrimidine Metabolism,6,2,random,1,-0.35288980286303584,4.007057053530711,1
4,Pyrimidine Metabolism,6,2,random,2,-0.34105599610869763,4.348113049639409,0
4,Tryptophan Metabolism,5,2,commutator,1,-0.24775936417800182,2.0223308673994205,1
4,Tryptophan Metabolism,5,2,commutator,2,-0.7604809136333066,2.782811781032727,0
4,Tryptophan Metabolism,5,2,variance,1,-0.24775936417800182,2.0223308673994205,1
4,Tryptophan Metabolism,5,2,variance,2,-0.7604809136333066,2.782811781032727,0
4,Tryptophan Metabolism,5,2,random,1,-0.5014330715211104,2.276004574742529,0
4,Tryptophan Metabolism,5,2,random,2,-0.506807206290198,2.782811781032727,0
5,Arginine and Proline Metabolism,6,2,commutator,1,-0.24363452133241958,2.831056467299049,1
5,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
5,Arginine and Proline Metabolism,6,2,variance,1,-0.24363452133241958,2.831056467299049,1
5,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
5,Arginine and Proline Metabolism,6,2,random,1,-0.24363452133241958,2.831056467299049,1
5,Arginine and Proline Metabolism,6,2,random,2,-0.3325560157417624,3.1636124830408114,0
5,Purine Metabolism,4,2,commutator,1,-0.8156261150597279,2.508773295671645,0
5,Purine Metabolism,4,2,commutator,2,-0.4339348295316334,2.9427081252032785,0
5,Purine Metabolism,4,2,variance,1,-0.8156261150597279,2.508773295671645,0
5,Purine Metabolism,4,2,variance,2,-0.4339348295316334,2.9427081252032785,0
5,Purine Metabolism,4,2,random,1,-0.8156261150597279,2.508773295671645,0
5,Purine Metabolism,4,2,random,2,-0.4339348295316334,2.9427081252032785,0
5,Pyrimidine Metabolism,6,2,commutator,1,-0.5204072075212163,3.982727951491012,0
5,Pyrimidine Metabolism,6,2,commutator,2,-0.3653850981483968,4.348113049639409,0
5,Pyrimidine Metabolism,6,2,variance,1,-0.5204072075212163,3.982727951491012,0
5,Pyrimidine Metabolism,6,2,variance,2,-0.3653850981483968,4.348113049639409,0
5,Pyrimidine Metabolism,6,2,random,1,-0.5204072075212163,3.982727951491012,0
5,Pyrimidine Metabolism,6,2,random,2,-0.3653850981483968,4.348113049639409,0
5,Tryptophan Metabolism,5,2,commutator,1,0.012446075836779258,2.783788426249675,0
5,Tryptophan Metabolism,5,2,commutator,2,0.0009766452169479578,2.782811781032727,0
5,Tryptophan Metabolism,5,2,variance,1,0.012446075836779258,2.783788426249675,0
5,Tryptophan Metabolism,5,2,variance,2,0.0009766452169479578,2.782811781032727,0
5,Tryptophan Metabolism,5,2,random,1,0.03354562845144615,2.762688873635008,1
5,Tryptophan Metabolism,5,2,random,2,-0.020122907397718937,2.782811781032727,0
6,Arginine and Proline Metabolism,6,2,commutator,1,-0.1637443737061055,2.831056467299049,1
6,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
6,Arginine and Proline Metabolism,6,2,variance,1,-0.1637443737061055,2.831056467299049,1
6,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
6,Arginine and Proline Metabolism,6,2,random,1,-0.1637443737061055,2.831056467299049,1
6,Arginine and Proline Metabolism,6,2,random,2,-0.3325560157417624,3.1636124830408114,0
6,Purine Metabolism,4,2,commutator,1,-0.31053051068902526,2.0102702081160833,1
6,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
6,Purine Metabolism,4,2,variance,1,-0.31053051068902526,2.0102702081160833,1
6,Purine Metabolism,4,2,variance,2,-0.9324379170871953,2.9427081252032785,0
6,Purine Metabolism,4,2,random,1,-1.1455103660645207,2.8452500634915787,0
6,Purine Metabolism,4,2,random,2,-0.0974580617116998,2.9427081252032785,0
6,Pyrimidine Metabolism,6,2,commutator,1,-0.2939060735542758,3.982727951491012,1
6,Pyrimidine Metabolism,6,2,commutator,2,-0.3653850981483968,4.348113049639409,0
6,Pyrimidine Metabolism,6,2,variance,1,-0.2939060735542758,3.982727951491012,1
6,Pyrimidine Metabolism,6,2,variance,2,-0.3653850981483968,4.348113049639409,0
6,Pyrimidine Metabolism,6,2,random,1,-0.2939060735542758,3.982727951491012,1
6,Pyrimidine Metabolism,6,2,random,2,-0.3653850981483968,4.348113049639409,0
6,Tryptophan Metabolism,5,2,commutator,1,-0.019150574933783915,2.2269374491509737,1
6,Tryptophan Metabolism,5,2,commutator,2,-0.5558743318817534,2.782811781032727,0
6,Tryptophan Metabolism,5,2,variance,1,-0.019150574933783915,2.2269374491509737,1
6,Tryptophan Metabolism,5,2,variance,2,-0.5558743318817534,2.782811781032727,0
6,Tryptophan Metabolism,5,2,random,1,-0.5549019994178184,2.762688873635008,0
6,Tryptophan Metabolism,5,2,random,2,-0.020122907397718937,2.782811781032727,0
7,Arginine and Proline Metabolism,6,2,commutator,1,-0.04812060569097598,3.145473490933183,0
7,Arginine and Proline Metabolism,6,2,commutator,2,-0.018138992107628482,3.1636124830408114,0
7,Arginine and Proline Metabolism,6,2,variance,1,-0.04812060569097598,3.145473490933183,0
7,Arginine and Proline Metabolism,6,2,variance,2,-0.018138992107628482,3.1636124830408114,0
7,Arginine and Proline Metabolism,6,2,random,1,-0.04812060569097598,3.145473490933183,0
7,Arginine and Proline Metabolism,6,2,random,2,-0.018138992107628482,3.1636124830408114,0
7,Purine Metabolism,4,2,commutator,1,-0.33570429592603324,2.4169516289868036,1
7,Purine Metabolism,4,2,commutator,2,-0.5257564962164749,2.9427081252032785,0
7,Purine Metabolism,4,2,variance,1,-0.33570429592603324,2.4169516289868036,1
7,Purine Metabolism,4,2,variance,2,-0.5257564962164749,2.9427081252032785,0
7,Purine Metabolism,4,2,random,1,-0.33570429592603324,2.4169516289868036,1
7,Purine Metabolism,4,2,random,2,-0.5257564962164749,2.9427081252032785,0
7,Pyrimidine Metabolism,6,2,commutator,1,-0.3472404085996681,4.008979501969556,1
7,Pyrimidine Metabolism,6,2,commutator,2,-0.33913354766985293,4.348113049639409,0
7,Pyrimidine Metabolism,6,2,variance,1,-0.3472404085996681,4.008979501969556,1
7,Pyrimidine Metabolism,6,2,variance,2,-0.33913354766985293,4.348113049639409,0
7,Pyrimidine Metabolism,6,2,random,1,-0.3472404085996681,4.008979501969556,1
7,Pyrimidine Metabolism,6,2,random,2,-0.33913354766985293,4.348113049639409,0
7,Tryptophan Metabolism,5,2,commutator,1,-0.02134148527107005,2.2269374491509737,1
7,Tryptophan Metabolism,5,2,commutator,2,-0.5558743318817534,2.782811781032727,0
7,Tryptophan Metabolism,5,2,variance,1,-0.02134148527107005,2.2269374491509737,1
7,Tryptophan Metabolism,5,2,variance,2,-0.5558743318817534,2.782811781032727,0
7,Tryptophan Metabolism,5,2,random,1,-0.02134148527107005,2.2269374491509737,1
7,Tryptophan Metabolism,5,2,random,2,-0.5558743318817534,2.782811781032727,0
8,Arginine and Proline Metabolism,6,2,commutator,1,-0.049336724487516026,3.0667974057090444,1
8,Arginine and Proline Metabolism,6,2,commutator,2,-0.09681507733176709,3.1636124830408114,0
8,Arginine and Proline Metabolism,6,2,variance,1,-0.049336724487516026,3.0667974057090444,1
8,Arginine and Proline Metabolism,6,2,variance,2,-0.09681507733176709,3.1636124830408114,0
8,Arginine and Proline Metabolism,6,2,random,1,-0.07382567279384178,3.09128635401537,0
8,Arginine and Proline Metabolism,6,2,random,2,-0.07232612902544133,3.1636124830408114,0
8,Purine Metabolism,4,2,commutator,1,-0.33570429592603324,2.4169516289868036,1
8,Purine Metabolism,4,2,commutator,2,-0.5257564962164749,2.9427081252032785,0
8,Purine Metabolism,4,2,variance,1,-0.33570429592603324,2.4169516289868036,1
8,Purine Metabolism,4,2,variance,2,-0.5257564962164749,2.9427081252032785,0
8,Purine Metabolism,4,2,random,1,-0.7640027304308084,2.8452500634915787,0
8,Purine Metabolism,4,2,random,2,-0.0974580617116998,2.9427081252032785,0
8,Pyrimidine Metabolism,6,2,commutator,1,-0.42711830260607586,3.982727951491012,1
8,Pyrimidine Metabolism,6,2,commutator,2,-0.3653850981483968,4.348113049639409,0
8,Pyrimidine Metabolism,6,2,variance,1,-0.45144740464577504,4.007057053530711,0
8,Pyrimidine Metabolism,6,2,variance,2,-0.34105599610869763,4.348113049639409,0
8,Pyrimidine Metabolism,6,2,random,1,-0.42711830260607586,3.982727951491012,1
8,Pyrimidine Metabolism,6,2,random,2,-0.3653850981483968,4.348113049639409,0
8,Tryptophan Metabolism,5,2,commutator,1,0.09195765529578548,2.276004574742529,1
8,Tryptophan Metabolism,5,2,commutator,2,-0.506807206290198,2.782811781032727,0
8,Tryptophan Metabolism,5,2,variance,1,0.09195765529578548,2.276004574742529,1
8,Tryptophan Metabolism,5,2,variance,2,-0.506807206290198,2.782811781032727,0
8,Tryptophan Metabolism,5,2,random,1,0.09195765529578548,2.276004574742529,1
8,Tryptophan Metabolism,5,2,random,2,-0.506807206290198,2.782811781032727,0
9,Arginine and Proline Metabolism,6,2,commutator,1,-0.21529390215381916,2.697151503640466,1
9,Arginine and Proline Metabolism,6,2,commutator,2,-0.46646097940034537,3.1636124830408114,0
9,Arginine and Proline Metabolism,6,2,variance,1,-0.21529390215381916,2.697151503640466,1
9,Arginine and Proline Metabolism,6,2,variance,2,-0.46646097940034537,3.1636124830408114,0
9,Arginine and Proline Metabolism,6,2,random,1,-0.5849398042223974,3.0667974057090444,0
9,Arginine and Proline Metabolism,6,2,random,2,-0.09681507733176709,3.1636124830408114,0
9,Purine Metabolism,4,2,commutator,1,-0.3171230275041661,2.0102702081160833,1
9,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
9,Purine Metabolism,4,2,variance,1,-0.3171230275041661,2.0102702081160833,1
9,Purine Metabolism,4,2,variance,2,-0.9324379170871953,2.9427081252032785,0
9,Purine Metabolism,4,2,random,1,-0.3171230275041661,2.0102702081160833,1
9,Purine Metabolism,4,2,random,2,-0.9324379170871953,2.9427081252032785,0
9,Pyrimidine Metabolism,6,2,commutator,1,-0.3472404085996681,4.008979501969556,1
9,Pyrimidine Metabolism,6,2,commutator,2,-0.33913354766985293,4.348113049639409,0
9,Pyrimidine Metabolism,6,2,variance,1,-0.3472404085996681,4.008979501969556,1
9,Pyrimidine Metabolism,6,2,variance,2,-0.33913354766985293,4.348113049639409,0
9,Pyrimidine Metabolism,6,2,random,1,-0.4242121490880768,4.0859512424579645,0
9,Pyrimidine Metabolism,6,2,random,2,-0.2621618071814442,4.348113049639409,0
9,Tryptophan Metabolism,5,2,commutator,1,-0.42849036074684177,2.2269374491509737,0
9,Tryptophan Metabolism,5,2,commutator,2,-0.5558743318817534,2.782811781032727,0
9,Tryptophan Metabolism,5,2,variance,1,-0.42849036074684177,2.2269374491509737,0
9,Tryptophan Metabolism,5,2,variance,2,-0.5558743318817534,2.782811781032727,0
9,Tryptophan Metabolism,5,2,random,1,-0.42849036074684177,2.2269374491509737,0
9,Tryptophan Metabolism,5,2,random,2,-0.5558743318817534,2.782811781032727,0
10,Arginine and Proline Metabolism,6,2,commutator,1,-0.14339744230222484,2.831056467299049,1
10,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
10,Arginine and Proline Metabolism,6,2,variance,1,-0.14339744230222484,2.831056467299049,1
10,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
10,Arginine and Proline Metabolism,6,2,random,1,-0.4036273290185459,3.09128635401537,0
10,Arginine and Proline Metabolism,6,2,random,2,-0.07232612902544133,3.1636124830408114,0
10,Purine Metabolism,4,2,commutator,1,-0.3171230275041661,2.0102702081160833,1
10,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
10,Purine Metabolism,4,2,variance,1,-0.8156261150597279,2.508773295671645,0
10,Purine Metabolism,4,2,variance,2,-0.4339348295316334,2.9427081252032785,0
10,Purine Metabolism,4,2,random,1,-0.8156261150597279,2.508773295671645,0
10,Purine Metabolism,4,2,random,2,-0.4339348295316334,2.9427081252032785,0
10,Pyrimidine Metabolism,6,2,commutator,1,-0.35288980286303584,4.007057053530711,1
10,Pyrimidine Metabolism,6,2,commutator,2,-0.34105599610869763,4.348113049639409,0
10,Pyrimidine Metabolism,6,2,variance,1,-0.35288980286303584,4.007057053530711,1
10,Pyrimidine Metabolism,6,2,variance,2,-0.34105599610869763,4.348113049639409,0
10,Pyrimidine Metabolism,6,2,random,1,-0.35288980286303584,4.007057053530711,1
10,Pyrimidine Metabolism,6,2,random,2,-0.34105599610869763,4.348113049639409,0
10,Tryptophan Metabolism,5,2,commutator,1,-0.06357034957137087,2.0223308673994205,1
10,Tryptophan Metabolism,5,2,commutator,2,-0.7604809136333066,2.782811781032727,0
10,Tryptophan Metabolism,5,2,variance,1,-0.06357034957137087,2.0223308673994205,1
10,Tryptophan Metabolism,5,2,variance,2,-0.7604809136333066,2.782811781032727,0
10,Tryptophan Metabolism,5,2,random,1,-0.8039283558069585,2.762688873635008,0
10,Tryptophan Metabolism,5,2,random,2,-0.020122907397718937,2.782811781032727,0
11,Arginine and Proline Metabolism,6,2,commutator,1,-0.06386399631584583,2.697151503640466,1
11,Arginine and Proline Metabolism,6,2,commutator,2,-0.46646097940034537,3.1636124830408114,0
11,Arginine and Proline Metabolism,6,2,variance,1,-0.06386399631584583,2.697151503640466,1
11,Arginine and Proline Metabolism,6,2,variance,2,-0.46646097940034537,3.1636124830408114,0
11,Arginine and Proline Metabolism,6,2,random,1,-0.5121859836085627,3.145473490933183,0
11,Arginine and Proline Metabolism,6,2,random,2,-0.018138992107628482,3.1636124830408114,0
11,Purine Metabolism,4,2,commutator,1,-0.3171230275041661,2.0102702081160833,1
11,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
11,Purine Metabolism,4,2,variance,1,-0.3171230275041661,2.0102702081160833,1
11,Purine Metabolism,4,2,variance,2,-0.9324379170871953,2.9427081252032785,0
11,Purine Metabolism,4,2,random,1,-0.3171230275041661,2.0102702081160833,1
11,Purine Metabolism,4,2,random,2,-0.9324379170871953,2.9427081252032785,0
11,Pyrimidine Metabolism,6,2,commutator,1,-0.3472404085996681,4.008979501969556,1
11,Pyrimidine Metabolism,6,2,commutator,2,-0.33913354766985293,4.348113049639409,0
11,Pyrimidine Metabolism,6,2,variance,1,-0.3472404085996681,4.008979501969556,1
11,Pyrimidine Metabolism,6,2,variance,2,-0.33913354766985293,4.348113049639409,0
11,Pyrimidine Metabolism,6,2,random,1,-0.4242121490880768,4.0859512424579645,0
11,Pyrimidine Metabolism,6,2,random,2,-0.2621618071814442,4.348113049639409,0
11,Tryptophan Metabolism,5,2,commutator,1,-0.06357034957137087,2.0223308673994205,1
11,Tryptophan Metabolism,5,2,commutator,2,-0.7604809136333066,2.782811781032727,0
11,Tryptophan Metabolism,5,2,variance,1,-0.06357034957137087,2.0223308673994205,1
11,Tryptophan Metabolism,5,2,variance,2,-0.7604809136333066,2.782811781032727,0
11,Tryptophan Metabolism,5,2,random,1,-0.8039283558069585,2.762688873635008,0
11,Tryptophan Metabolism,5,2,random,2,-0.020122907397718937,2.782811781032727,0
12,Arginine and Proline Metabolism,6,2,commutator,1,-0.22304698930072364,2.697151503640466,1
12,Arginine and Proline Metabolism,6,2,commutator,2,-0.46646097940034537,3.1636124830408114,0
12,Arginine and Proline Metabolism,6,2,variance,1,-0.22304698930072364,2.697151503640466,1
12,Arginine and Proline Metabolism,6,2,variance,2,-0.46646097940034537,3.1636124830408114,0
12,Arginine and Proline Metabolism,6,2,random,1,-0.6171818396756277,3.09128635401537,0
12,Arginine and Proline Metabolism,6,2,random,2,-0.07232612902544133,3.1636124830408114,0
12,Purine Metabolism,4,2,commutator,1,-0.3171230275041661,2.0102702081160833,1
12,Purine Metabolism,4,2,commutator,2,-0.9324379170871953,2.9427081252032785,0
12,Purine Metabolism,4,2,variance,1,-0.8156261150597279,2.508773295671645,0
12,Purine Metabolism,4,2,variance,2,-0.4339348295316334,2.9427081252032785,0
12,Purine Metabolism,4,2,random,1,-0.8156261150597279,2.508773295671645,0
12,Purine Metabolism,4,2,random,2,-0.4339348295316334,2.9427081252032785,0
12,Pyrimidine Metabolism,6,2,commutator,1,-0.4182529209082917,3.982727951491012,1
12,Pyrimidine Metabolism,6,2,commutator,2,-0.3653850981483968,4.348113049639409,0
12,Pyrimidine Metabolism,6,2,variance,1,-0.4445044713868356,4.008979501969556,0
12,Pyrimidine Metabolism,6,2,variance,2,-0.33913354766985293,4.348113049639409,0
12,Pyrimidine Metabolism,6,2,random,1,-0.4182529209082917,3.982727951491012,1
12,Pyrimidine Metabolism,6,2,random,2,-0.3653850981483968,4.348113049639409,0
12,Tryptophan Metabolism,5,2,commutator,1,-0.24775936417800182,2.0223308673994205,1
12,Tryptophan Metabolism,5,2,commutator,2,-0.7604809136333066,2.782811781032727,0
12,Tryptophan Metabolism,5,2,variance,1,-0.24775936417800182,2.0223308673994205,1
12,Tryptophan Metabolism,5,2,variance,2,-0.7604809136333066,2.782811781032727,0
12,Tryptophan Metabolism,5,2,random,1,-0.5014330715211104,2.276004574742529,0
12,Tryptophan Metabolism,5,2,random,2,-0.506807206290198,2.782811781032727,0
13,Arginine and Proline Metabolism,6,2,commutator,1,-0.3626259501068474,2.670595356926951,1
13,Arginine and Proline Metabolism,6,2,commutator,2,-0.4930171261138603,3.1636124830408114,0
13,Arginine and Proline Metabolism,6,2,variance,1,-0.3626259501068474,2.670595356926951,1
13,Arginine and Proline Metabolism,6,2,variance,2,-0.4930171261138603,3.1636124830408114,0
13,Arginine and Proline Metabolism,6,2,random,1,-0.3626259501068474,2.670595356926951,1
13,Arginine and Proline Metabolism,6,2,random,2,-0.4930171261138603,3.1636124830408114,0
13,Purine Metabolism,4,2,commutator,1,-0.6957317078309244,2.8452500634915787,0
13,Purine Metabolism,4,2,commutator,2,-0.0974580617116998,2.9427081252032785,0
