dataset,pathway,rho,operator_method,predictor_method,n_nodes,n_hidden,delta_star,delta_hat,regret,nregret,top1,top3,rank_tau,m_star,m_hat
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.4,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,surrogate,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,gnc_commutator,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,mb2d_transport,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,random,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,degree,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,variance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,diffabundance,3,1,-0.73777671,-0.73777671,0.0,0.0,1,0.3333,,Glutamine,Glutamine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,surrogate,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,gnc_commutator,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,mb2d_transport,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,random,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,degree,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,variance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,diffabundance,3,1,-0.75787702,-0.75787702,0.0,0.0,1,0.3333,,Alanine,Alanine
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,surrogate,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,gnc_commutator,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
ST001865,Alanine Aspartate Glutamate Metabolism,0.5,none,mb2d_transport,3,1,-0.67714489,-0.67714489,0.0,0.0,1,0.3333,,Pyroglutamic acid,Pyroglutamic acid
